frame_count,t_in_us,t_due_us,t_pub_us,published
708,36933593412,36933643412,36933643653,1
709,36933610022,36933660022,36933660383,1
710,36933627130,36933677130,36933677230,1
711,36933643309,36933693309,36933693544,1
712,36933660640,36933710640,36933710748,1
713,36933676715,36933726715,36933726879,1
714,36933693235,36933743235,36933743519,1
715,36933710053,36933760053,36933760191,1
716,36933726544,36933776544,36933776822,1
717,36933743773,36933793773,36933793929,1
718,36933759890,36933809890,36933810209,1
719,36933777113,36933827113,36933827483,1
720,36933793476,36933843476,36933843669,1
721,36933810467,36933860467,36933860585,1
722,36933827782,36933877782,36933877977,1
723,36933843356,36933893356,36933893645,1
724,36933859933,36933909933,36933910292,1
725,36933876602,36933926602,36933926893,1
726,36933893340,36933943340,36933943627,1
727,36933910586,36933960586,36933960765,1
728,36933927149,36933977149,36933977295,1
729,36933943882,36933993882,36933994108,1
730,36933960046,36934010046,36934010238,1
731,36933976793,36934026793,36934027120,1
732,36933993403,36934043403,36934043593,1
733,36934009909,36934059909,36934060192,1
734,36934027375,36934077375,36934077583,1
735,36934043252,36934093252,36934093608,1
736,36934060448,36934110448,36934110627,1
737,36934076578,36934126578,36934127098,1
738,36934093272,36934143272,36934143802,1
739,36934110240,36934160240,36934160558,1
740,36934127356,36934177356,36934177472,1
741,36934144061,36934194061,36934194349,1
742,36934160193,36934210193,36934210438,1
743,36934176855,36934226855,36934227115,1
744,36934193324,36934243324,36934243607,1
745,36934210107,36934260107,36934260228,1
746,36934226726,36934276726,36934277019,1
747,36934243861,36934293861,36934294136,1
748,36934259918,36934309918,36934310230,1
749,36934277272,36934327272,36934327440,1
750,36934293326,36934343326,36934343553,1
751,36934309897,36934359897,36934360135,1
752,36934326738,36934376738,36934377027,1
753,36934343233,36934393233,36934393533,1
754,36934360392,36934410392,36934410553,1
755,36934377282,36934427282,36934427526,1
756,36934393788,36934443788,36934443888,1
757,36934409956,36934459956,36934460258,1
758,36934426589,36934476589,36934476867,1
